Origin,Destination,Airline_name1,Flight_code,Stops,Travel_date,Departure_time,Arrival_time,Fare,Base price,GST,Currency,Scraped_at time,Source
GOI,BOM,IndiGo,6E-5231,Non-stop,10/16/2026,16:30,17:50,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5242,Non-stop,10/1/2026,18:40,19:55,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-5242,Non-stop,9/2/2026,18:40,19:55,4827,4597.14,229.86,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-5231,Non-stop,9/2/2026,16:30,17:50,4827,4597.14,229.86,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-2175,Non-stop,10/16/2026,6:40,8:05,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,Air India Express,IX-1241,Non-stop,9/2/2026,18:20,19:50,4827,4597.14,229.86,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-5158,Non-stop,10/16/2026,13:10,14:30,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-6156,Non-stop,10/16/2026,0:05,1:25,4827,4597.14,229.86,INR,9/1/2026 6:52,Cleartrip
AMD,BOM,IndiGo,6E-5146,Non-stop,9/16/2026,8:05,9:35,4898,4664.76,233.24,INR,9/1/2026 6:43,Cleartrip
BLR,HYD,Alliance Air,9I-517,Non-stop,10/1/2026,20:50,22:35,4914,4680,234,INR,9/1/2026 6:39,Cleartrip
GOI,BOM,IndiGo,6E-5158,Non-stop,10/1/2026,13:10,14:30,4932,4697.14,234.86,INR,9/1/2026 6:52,Cleartrip
BLR,PNQ,IndiGo,6E-6104,Non-stop,10/1/2026,11:40,13:10,4975,4738.1,236.9,INR,9/1/2026 6:45,Cleartrip
BLR,PNQ,Akasa Air,QP-1317,Non-stop,10/1/2026,19:55,21:35,4975,4738.1,236.9,INR,9/1/2026 6:45,Cleartrip
AMD,BOM,Air India,AI-2918,Non-stop,9/8/2026,6:00,7:45,4998,4760,238,INR,9/1/2026 6:43,Cleartrip
AMD,BOM,Air India,AI-494,Non-stop,9/16/2026,8:45,10:30,4998,4760,238,INR,9/1/2026 6:43,Cleartrip
GOI,BOM,Air India Express,IX-1209,Non-stop,9/8/2026,22:35,0:05,5027,4787.62,239.38,INR,9/1/2026 6:51,Cleartrip
AMD,BOM,IndiGo,6E-868,Non-stop,9/16/2026,21:25,23:00,5053,4812.38,240.62,INR,9/1/2026 6:43,Cleartrip
BLR,BOM,Air India,AI-2858,Non-stop,9/16/2026,2:20,4:10,5055,4814.29,240.71,INR,9/1/2026 6:23,Cleartrip
GOI,BOM,IndiGo,6E-6360,Non-stop,10/16/2026,21:45,23:00,5057,4816.19,240.81,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-6360,Non-stop,10/1/2026,21:45,23:00,5057,4816.19,240.81,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-7078,Non-stop,10/16/2026,19:50,21:20,5057,4816.19,240.81,INR,9/1/2026 6:52,Cleartrip
GOI,BOM,IndiGo,6E-6360,Non-stop,9/2/2026,21:45,23:00,5057,4816.19,240.81,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-7038,Non-stop,10/16/2026,17:25,18:55,5057,4816.19,240.81,INR,9/1/2026 6:52,Cleartrip
AMD,BOM,Air India,AI-2494,Non-stop,9/16/2026,21:00,22:40,5068,4826.67,241.33,INR,9/1/2026 6:43,Cleartrip
BLR,HYD,IndiGo,6E-6784,Non-stop,10/16/2026,21:25,22:40,5078,4836.19,241.81,INR,9/1/2026 6:39,Cleartrip
GOI,BOM,IndiGo,6E-6360,Non-stop,9/8/2026,21:45,23:00,5087,4844.76,242.24,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,Air India,AI-2506,Non-stop,9/2/2026,21:30,23:10,5089,4846.67,242.33,INR,9/1/2026 6:51,Cleartrip
HYD,BOM,Alliance Air,9I-925,Non-stop,10/1/2026,0:55,3:10,5097,4854.29,242.71,INR,9/1/2026 6:34,Cleartrip
BLR,BOM,IndiGo,6E-5205,Non-stop,9/2/2026,3:45,5:30,5109,4865.71,243.29,INR,9/1/2026 6:23,Cleartrip
BLR,BOM,IndiGo,6E-5293,Non-stop,9/2/2026,1:00,2:50,5109,4865.71,243.29,INR,9/1/2026 6:23,Cleartrip
BLR,HYD,IndiGo,6.00E-116,1 stop,9/2/2026,23:05,3:10,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6E-6753,1 stop,9/2/2026,15:15,22:50,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6E-441,1 stop,9/2/2026,20:40,3:10,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6.00E-173,1 stop,9/2/2026,15:30,20:20,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6E-6168,1 stop,9/2/2026,17:40,22:50,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,HYD,IndiGo,6E-703,1 stop,9/2/2026,12:55,17:35,5146,4900.95,245.05,INR,9/1/2026 6:38,Cleartrip
BLR,PNQ,Akasa Air,QP-1313,Non-stop,10/16/2026,10:00,11:40,5160,4914.29,245.71,INR,9/1/2026 6:46,Cleartrip
BLR,PNQ,IndiGo,6.00E-105,Non-stop,10/1/2026,18:50,20:15,5160,4914.29,245.71,INR,9/1/2026 6:45,Cleartrip
GOI,BOM,Akasa Air,QP-1176,Non-stop,9/2/2026,20:30,21:45,5179,4932.38,246.62,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-985,1 stop,9/2/2026,21:40,6:25,5194,4946.67,247.33,INR,9/1/2026 6:51,Cleartrip
GOI,BOM,IndiGo,6E-6177,1 stop,9/2/2026,20:05,4:30,5194,4946.67,247.33,INR,9/1/2026 6:51,Cleartrip
BLR,BOM,IndiGo,6E-6554,1 stop,9/8/2026,19:15,1:25,5238,4988.57,249.43,INR,9/1/2026 6:23,Cleartrip
